"text,created_at"
"Our highest respect to the family of David Dorn a Great Police Captain from St. Louis who was viciously shot and killed by despicable looters last night. We honor our police officers perhaps more than ever before. Thank you! https://t.co/0ouUpoJEQ4,06-03-2020 01:30:35"
"You got it wrong! If the protesters were so peaceful why did they light the Church on fire the night before? People liked my walk to this historic place of worship! Sen. Susan Collins Sen. James Lankford Sen. Ben Sasse. Please read @MZHemingway below. https://t.co/PbVaUcKmXf,06-03-2020 02:28:09"
"Media Falsely Claimed Violent Riots Were Peaceful And That Tear Gas Was Used Against Rioters https://t.co/3crnij4pWT Fake News is hurting our Country so badly. Don’t burn down churches. This article is a must read!,06-03-2020 02:41:32"
"“Chaos lawlessness and destruction take over New York.” @FoxNews  When will Governor Cuomo call the Federal Government for help?,06-03-2020 02:57:30"
"New York’s Finest are not being allowed to perform their MAGIC but regardless and with the momentum that the Radical Left and others have been allowed to build they will need additional help. NYC is totally out of control. @NYCMayor &amp; @NYGovCuomo MUST PUT DOWN RIOTING NOW!,06-03-2020 03:58:26"
"RT @mghjmh: @Justin12393LEE @tinastullracing @realDonaldTrump https://t.co/VIZ5i4YNxu,06-03-2020 04:06:50"
"Burgess Owens Utah. “We weren’t to sure in 2016 but we voted for the right person to take us through this process.” @IngrahamAngle @FoxNews  Thank you Burgess. Working hard!,06-03-2020 04:15:09"
"RT @realDonaldTrump: SILENT MAJORITY!,06-03-2020 04:15:55"
"So pathetic to watch the Fake News Lamestream Media playing down the gravity and depravity of the Radical Left looters and thugs ripping up our Liberal Democrat run (only) cities. It is almost like they are all working together?,06-03-2020 04:29:54"
"I agree unlike other states that are poorly run &amp; managed Texas is in great shape...and the Southern Border Wall which is going up FAST puts it in even better position! https://t.co/F7quFwVPVF,06-03-2020 09:52:52"
"RT @RandPaul: I joined @charliekirk11 on his podcast to discuss why there is a need to safely reopen America! Tune in! https://t.co/qA0djmk…,06-03-2020 10:07:18"
"RT @RandPaul: Unmasking essentially is an end-run around the Constitution. The lesson that we should all be taking away from this is not “M…,06-03-2020 10:07:40"
"RT @RandPaul: Outrage isn't enough. We need true action to protect the privacy of American citizens.https://t.co/Z1FD2DIZtt,06-03-2020 10:07:50"
"RT @SenTedCruz: Every American has a right to peaceably express their freedom of speech. That doesn't include:✖️Rioting✖️Looting✖️Ligh…,06-03-2020 10:08:26"
"Thank you Ted. They got caught cold but this should never be allowed to happen to an incoming administration again - Spied on. Makes Watergate look like small potatoes! OBAMAGATE! https://t.co/it9tryS8sk,06-03-2020 10:16:37"
"RT @SenTedCruz: PREVIEW of tomorrow’s @senjudiciary #Rosenstein hearing: We’re looking for the truth about the Obama Administration officia…,06-03-2020 10:17:00"
"So true! https://t.co/5w17du8qk6,06-03-2020 10:17:57"
"RT @SenateGOP: 🚀 🇺🇸we're back. https://t.co/0m8h64qaSN,06-03-2020 10:18:46"
"RT @SenTedCruz: .@FoxNews: Sen. Cruz: Rioting cannot be tolerated this is 'terrorist assault' on America https://t.co/l8ShTS1zVJ,06-03-2020 10:19:02"
"RT @dcexaminer: ""I am glad the president yesterday led by going to St. John's Church a historic church in our capital city that was fire…,06-03-2020 10:19:31"
"RT @JackPosobiec: BREAKING:I have established a memorial fund for the family of Captain David Dorn https://t.co/uYHShTo5rU,06-03-2020 10:20:33"
"RT @esaagar: 58% of Americans support sending the military in to supplement police force to quell riotsCompare that to the twitter discou…,06-03-2020 10:22:56"
"RT @esaagar: 1/ My appearance with @TuckerCarlson Tonight: The cultural elites want to us to believe we're an irredeemably racist nation…,06-03-2020 10:25:47"
"RT @seanmdav: The same government officials who threw a woman in jail for opening a hair salon arrested a pastor for leading worship and…,06-03-2020 10:26:35"
"Fredo’s ratings are down more than 50%. People are tired of his act. @CNN IS DYING! https://t.co/lFDqV6zEXP,06-03-2020 10:30:44"
"RT @ScottAdamsSays: CNN says there are some fine people marching with the looters and domestic terrorists.,06-03-2020 10:33:17"
"RT @LeeSmithDC: Heartbreaking. Greatest police force in the world reduced to this—tasked to bully Orthodox Jews and bend a knee to terroris…,06-03-2020 10:34:09"
"Undercover Huber is a great spoof funny but at the same time sad because the real @JohnWHuber did absolutely NOTHING. He was a garbage disposal unit for important documents &amp; then tap tap tap just drag it along &amp; run out of time. A.G. Jeff Sessions was played like a drum!,06-03-2020 10:46:46"
"Get tough police! https://t.co/nsaZYrJe9c,06-03-2020 10:47:48"
"RT @BuckSexton: We were lectured for 3 years by liberal columnists about how Trump was “undermining our institutions”And now those same c…,06-03-2020 10:48:10"
"RT @BuckSexton: #Cuomo #DeBlasio ‘Abject Fools’ Not up to Challenge https://t.co/QKyNJJ6FzY,06-03-2020 10:49:34"
"RT @BuckSexton: Remember if you don’t social distance you’re literally killing people. That’s what they told us. The “experts.”,06-03-2020 10:49:52"
"RT @BuckSexton: American carnage: These aren't protests — they're riots. Someone must end the lawlessness. https://t.co/iOlc9DOtJm,06-03-2020 10:50:58"
"RT @dagenmcdowell: Business owners in NYC are not allowed open up their doors while thieves and vandals and rioters are allowed to break d…,06-03-2020 10:52:23"
"The National Guard is ready! https://t.co/AifVRgWOlM,06-03-2020 10:54:52"
"RT @BuckSexton: Go through CNN’s official twitter feed right now. It’s a master class in propaganda. You’ll get the impression all protes…,06-03-2020 10:55:22"
"RT @BuckSexton: These are Democrats who are ruining cities across the country Yes I mean the politicians in charge- but also the rioters…,06-03-2020 10:58:10"
"RT @BuckSexton: Getting real-time updates on a jewelry store looting from a friend watching it on his terrace down below at street level p…,06-03-2020 10:58:16"
"RT @seanmdav: You wore blackface (or possibly even a KKK hood) and lied about it. https://t.co/lMQH44ExJ9,06-03-2020 11:00:46"
"The knew it was Fake and went with it anyway. Lamestream Media is CORRUPT! https://t.co/LHIYoo92zx,06-03-2020 11:04:30"
"RT @MikeCrapo: This fall many Medicare Advantage plans with prescription drug coverage will have a maximum $35 out-of-pocket copay for a m…,06-03-2020 11:07:04"
"RT @MikeCrapo: I introduced the Lower Costs More Cures Act which contains similar proposals for the reduction of insulin and other prescr…,06-03-2020 11:07:18"
"RT @SecretarySonny: The goodness of America was on display @athenafarms in Atlanta today. I saw @USDA’s Farmers to Families Food Box distri…,06-03-2020 11:07:53"
"Congratulations to Randy Feenstra on your big win in the Iowa Republican Primary. You will be a great Congressman!,06-03-2020 11:18:04"
"LAW &amp; ORDER!,06-03-2020 11:19:45"
"Really sick to watch the Fake and totally Slanted News(?) coming out of MSDNC and CNN. It bears NO relationship to the Truth or Facts. They are merely offshoots of the DNC much like the @nytimes and the Amazon @washingtonpost. Just like 2016 but worse. Sad but we will win big!,06-03-2020 11:27:11"
"If you watch Fake News @CNN or MSDNC you would think that the killers terrorists arsonists anarchists thugs hoodlums looters ANTIFA &amp; others would be the nicest kindest most wonderful people in the Whole Wide World. No they are what they are - very bad for our Country!,06-03-2020 13:02:59"
"In 3 1/2 years I’ve done much more for our Black population than Joe Biden has done in 43 years. Actually he set them back big time with his Crime Bill which he doesn’t even remember. I’ve done more for Black Americans in fact than any President in U.S. history with...,06-03-2020 13:07:26"
"....the possible exception of another Republican President the late great Abraham Lincoln...and it’s not even close. The Democrats know this and so does the Fake News but they refuse to write or say it because they are inherently corrupt! See “pinned” above.,06-03-2020 13:07:28"
"“There has never been a president in the White House who has been more supportive of HBCUs and their mission than President Trump” https://t.co/ooezBsHR20,06-03-2020 19:07:59"
"RT @SenTomCotton: The nation must restore order. The military stands ready. https://t.co/SW68y6wvds,06-03-2020 22:55:47"
"Probably the only thing Barack Obama and I have in common is that we both had the honor of firing Jim Mattis the world’s most overrated General. I asked for his letter of resignation &amp; felt great about. His nickname was “Chaos” which I didn’t like &amp; changed it to “Mad Dog”...,06-04-2020 00:50:37"
"....His primary strength was not military but rather personal public relations. I gave him a new life things to do and battles to win but he seldom “brought home the bacon”. I didn’t like his “leadership” style or much else about him and many others agree. Glad he is gone!,06-04-2020 00:50:38"
"Probably the only thing Barack Obama &amp; I have in common is that we both had the honor of firing Jim Mattis the world’s most overrated General. I asked for his letter of resignation &amp; felt great about it. His nickname was “Chaos” which I didn’t like &amp; changed to “Mad Dog”...,06-04-2020 01:02:05"
"...His primary strength was not military but rather personal public relations. I gave him a new life things to do and battles to win but he seldom “brought home the bacon”. I didn’t like his “leadership” style or much else about him and many others agree. Glad he is gone!,06-04-2020 01:02:06"
"RT @realDonaldTrump: “There has never been a president in the White House who has been more supportive of HBCUs and their mission than Pres…,06-04-2020 01:39:28"
"I feel more and more confident that our economy is in the early stages of coming back very strong. Not everyone agrees with me but I have little doubt. Watch for September October November. Next year will be one of the best ever and look at the Stock Market NOW!,06-04-2020 01:45:59"
"RT @nytimes: Breaking News: Virginia's governor plans to order the removal of a monument to the Confederate general Robert E. Lee in Richmo…,06-04-2020 01:58:20"
"RT @AndrewDesiderio: Rosenstein continues to take shots at McCabe saying he was “not fully candid with me” and “certainly wasn’t forthcomi…,06-04-2020 02:12:24"
"They spied on the Trump Campaign and got caught!!! https://t.co/V5e1pkoLsr,06-04-2020 02:15:50"
"RT @senjudiciary: @LindseyGrahamSC @RodRosenstein On the validity of the renewal of the FISA warrant application against Carter Page: Gra…,06-04-2020 02:16:06"
"FBI &amp; DOJ had NO EVIDENCE to start an investigation against President Trump. @FoxNews  “These are people with subversive actions and outright lies. They doctored documents.”  @jasoninthehouse  Now proven conclusively that this was the political crime of the century!,06-04-2020 04:01:50"
"RT @GOPChairwoman: With Tuesday’s victories @realDonaldTrump is now 64-0 in primary and special election endorsements this cycle.If you…,06-04-2020 04:07:47"
"RT @PressSec: The Rod Rosenstein hearing made it very clear that there was an illegal coup taking place that President @realDonaldTrump was…,06-04-2020 04:08:09"
"RT @PressSec: Under President @realDonaldTrump’s leadership there will be NO burning of churches looting of businesses destruction of pr…,06-04-2020 04:08:27"
"RT @PressSec: Former Secretary Mattis’ “article” is little more than a self-promotional stunt to appease the DC elite.President @realDona…,06-04-2020 04:08:48"
"RT @TeamTrump: President @realDonaldTrump: Next year’s economy will be phenomenal unless Joe Biden wins and raises everybody’s taxes https…,06-04-2020 04:09:22"
"RT @TeamTrump: President @realDonaldTrump: Liberal Mayors and Governors are weak on crime https://t.co/ePvnY2U7au,06-04-2020 04:09:51"
"RT @TeamTrump: President @realDonaldTrump on Joe Biden calling to end systemic racism: He's been in Washington for 43 years why hasn’t he…,06-04-2020 04:10:03"
